device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:46:02.107000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:46:32.111000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:47:02.111000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:47:32.113000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:48:02.111000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:48:32.109000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:49:02.114000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:49:32.203000+00:00,discharge_spike_vs_rolling,0.4682,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:50:02.204000+00:00,discharge_spike_vs_rolling,0.3315,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:50:32.122000+00:00,discharge_spike_vs_rolling,0.3315,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:54:32.115000+00:00,discharge_spike_vs_rolling,0.594,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:55:02.198000+00:00,discharge_spike_vs_rolling,0.594,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:55:32.120000+00:00,discharge_spike_vs_rolling,0.594,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:56:02.139000+00:00,discharge_spike_vs_rolling,0.594,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:56:32.125000+00:00,discharge_spike_vs_rolling,0.5951,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:57:02.122000+00:00,discharge_spike_vs_rolling,0.5951,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:57:32.112000+00:00,discharge_spike_vs_rolling,0.5951,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:58:02.118000+00:00,discharge_spike_vs_rolling,0.5951,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:58:32.109000+00:00,cell_imbalance_high,0.926,0.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:58:32.109000+00:00,discharge_spike_vs_rolling,0.926,100.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:59:02.109000+00:00,cell_imbalance_high,0.926,0.0
4bf8774e51dd02dea1153b159c0995924a6fef3ec15326e309eb1fd3c94e85b8,2026-02-04 04:59:02.109000+00:00,discharge_spike_vs_rolling,0.926,100.0
