device_id,imei_token,last_ping_time,device_status,gps_lat,gps_lon,gps_speed_kmh,gps_delta_km,gps_total_km,battery_state,battery_soc_pct,battery_capacity_ah,battery_usable_ah,capacity_discharge_ah,capacity_charge_ah,battery_voltage_v,cell_voltage_min,cell_voltage_max,battery_temp_c,battery_soh_pct,ts
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T18:46:46Z,Inactive,11.0456,76.9005,1.04,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T19:21:50Z,Inactive,11.045718,76.900345,3.06,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T19:22:32Z,Inactive,11.045718,76.900345,1.53,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T19:58:18Z,Inactive,11.045675,76.90038,1.09,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T19:57:24Z,Inactive,11.045675,76.90038,4.04,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T20:32:55Z,Inactive,11.045529,76.90047,0.72,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T20:34:03Z,Inactive,11.045529,76.90047,0.9,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T21:08:42Z,Inactive,11.045703,76.90047,1.3,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T21:09:49Z,Inactive,11.045703,76.90047,2.81,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
TEC0325A0600002,b584e90b2b8b1bfd0a817466c1113e3f14ce2a841a9f7c7a68424b1af066b2ac,2026-02-03T21:45:35Z,Inactive,11.045727,76.90044,1.59,0.0,820.01,Idle,99,125,124.76,123.51,1.25,7.92,3.33,3.33,28.51,99.81,
